Nationality,Residence,Q4,Q5,Q6,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q19_17,Q19_18,Q19_19,Q19_20,Q19_21,Q19_22,Q19_23,Q19_24,Q19_25,Q19_26,Q19_27,Q19_28,Q19_29,Q19_30,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Lextale,Wellbeing,Selfcontrol,Emotionality,Sociability,TEIQue,TVReactionsEN,TVReactionsTR,SocialMediaEN,SocialMediaTR
TR,TR,1,30,5,1,4,2,1,3,6,6,6,6,6,6,6,6,6,6,7,7,2,6,3,5,6,4,4,3,2,3,2,4,5,2,5,3,5,1,3,2,2,3,4,6,3,3,1,6,2,4,3,3,6,7,2,6,3,2,3,7,2,7,4,2,5,5,43.75,4.16667,3.66667,3.375,3.16667,3.56667,10,22,9,7
TR,TR,1,34,5,1,4,2,1,2,6,3,6,6,6,6,6,6,6,6,5,7,3,7,3,7,6,6,3,2,2,3,5,2,3,5,4,6,5,3,4,4,5,2,5,3,3,3,6,2,4,4,5,4,4,6,4,6,5,2,6,4,6,2,6,2,5,4,45,3.5,4.16667,4.75,3.83333,3.96667,21,14,11,6
TR,TR,1,34,1,1,2,2,1,3,6,6,6,6,6,6,6,6,6,6,3,5,2,1,1,3,1,5,3,4,5,5,3,6,1,1,5,4,4,3,3,4,3,4,2,6,5,6,1,2,4,6,3,4,2,2,2,5,2,5,3,4,3,2,3,4,4,3,47.5,3.5,3.33333,3.5,4.33333,3.56667,10,16,7,7
TR,TR,1,27,5,1,3,2,1,2,6,6,6,6,6,6,6,6,6,6,4,7,3,7,3,6,4,4,6,5,5,4,5,5,3,4,4,4,4,4,4,5,3,4,4,4,4,4,3,5,3,4,4,4,4,3,4,4,3,5,4,6,6,4,4,6,3,5,50,4.16667,4.16667,4,3.83333,4.1,17,19,7,11
TR,TR,2,33,1,1,1,2,1,3,6,6,6,6,6,6,6,6,6,6,2,7,1,7,1,7,2,5,2,6,5,2,6,6,3,6,3,4,6,6,2,5,3,6,3,3,2,6,2,2,6,6,2,6,2,2,1,7,1,7,5,6,1,2,3,7,3,6,50,3.16667,4.16667,4.375,4.16667,4,8,22,6,13
TR,TR,2,33,6,1,1,1,1,9,6,6,6,6,6,6,6,6,6,6,5,7,4,7,5,6,5,5,6,6,6,5,6,7,6,6,4,3,7,6,5,6,1,6,5,6,5,6,4,5,5,4,5,4,6,5,4,4,5,5,3,5,6,6,4,4,5,5,52.5,5.16667,5.5,4.875,4.83333,5.2,18,20,9,9
TR,TR,3,22,5,3,7,2,1,9,6,6,6,6,6,6,6,3,6,6,5,7,6,3,5,6,4,5,4,6,3,6,3,6,4,7,6,4,1,5,4,2,6,6,5,2,6,3,2,4,6,6,3,5,3,2,3,3,5,3,6,6,4,4,4,4,7,7,52.5,3.33333,3.83333,3.875,6.16667,4.3,18,16,11,11
TR,TR,1,32,6,1,2,1,1,2,6,6,6,6,6,6,6,6,6,6,5,7,1,1,1,1,3,4,4,5,3,4,4,4,4,4,4,4,3,2,3,4,3,4,2,4,4,5,5,3,4,5,4,5,4,3,5,4,5,4,4,4,5,3,5,2,5,4,53.75,3.66667,3.66667,3.875,4.16667,3.8,19,15,10,6
TR,TR,2,32,5,1,11,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,3,7,7,7,7,3,5,3,1,5,3,3,4,5,4,6,4,5,7,6,3,4,4,2,4,4,4,4,2,5,2,5,4,2,2,7,2,7,3,7,4,4,5,5,4,6,55,3.16667,3.83333,4.375,4.16667,4,11,25,9,11
TR,TR,2,31,5,1,1,1,1,2,6,6,6,6,6,6,6,6,6,6,5,6,5,4,4,4,4,4,5,3,4,4,4,5,5,3,5,3,3,3,5,3,4,3,5,6,6,3,5,5,3,4,3,4,4,5,3,6,4,5,4,4,6,1,2,2,3,3,55,4.33333,4.16667,4,4.16667,4.1,17,16,5,5
